Media Sources,Negative,Neutral,Positive,Compound,Tweets Ago,Date,Text
CBS,0.0,0.695,0.305,0.6908,12,Sun Jun 03 19:21:01 +0000 2018,Stephen Stills and Judy Collins playing beautiful music together after breakup years ago https://t.co/huVOY3TTHp https://t.co/0vrjsmVBgr
CBS,0.0,1.0,0.0,0.0,13,Sun Jun 03 19:01:24 +0000 2018,"One third of the Senate is up for election this year.
Here are seven Senate midterm elections you should watch out… https://t.co/gL1txKxySU"
CBS,0.0,1.0,0.0,0.0,14,Sun Jun 03 18:39:53 +0000 2018,Former President Bill Clinton and the world's bestselling author James Patterson co-author a political thriller… https://t.co/cSEtXfx79P
CBS,0.106,0.894,0.0,-0.0772,15,Sun Jun 03 18:20:58 +0000 2018,FBI agent under investigation for accidental shooting at Denver nightclub https://t.co/dSpxmCiEC5 https://t.co/RN40AF71Sj
CBS,0.13,0.87,0.0,-0.2732,16,Sun Jun 03 17:59:50 +0000 2018,Woman faces manslaughter charges after deadly hit-and-run at little league baseball field in Maine… https://t.co/ELwPLNNfiI
CBS,0.127,0.779,0.094,-0.2023,17,Sun Jun 03 17:44:30 +0000 2018,"Rep. Will Hurd says he thinks it would be a ""terrible move"" for President Trump to pardon himself. 

""I think peopl… https://t.co/Z6UkRGwWgZ"
CBS,0.076,0.924,0.0,-0.1027,18,Sun Jun 03 17:27:15 +0000 2018,Who will pay for Kim Jong Un's hotel stay in Singapore during summit with President Trump? https://t.co/vwma70d4qg https://t.co/HgbBOdCAr3
CBS,0.0,0.823,0.177,0.4215,19,Sun Jun 03 17:01:20 +0000 2018,"Fourth-grader's rendition of John Lennon's ""Imagine"" at school talent show goes viral https://t.co/B3D7QUCvtO https://t.co/kvzqTR9a1n"
CBS,0.0,1.0,0.0,0.0,20,Sun Jun 03 16:59:39 +0000 2018,North Korea experts' advice to President Trump: Keep summit as simple as possible https://t.co/Acudj31YOf https://t.co/UdtLZYezi1
CBS,0.148,0.852,0.0,-0.3818,21,Sun Jun 03 16:45:01 +0000 2018,Rudy Giuliani adamant that President Trump would fight Mueller subpoena to testify in Russia probe… https://t.co/KD7y72xKYa
CBS,0.226,0.774,0.0,-0.6433,22,Sun Jun 03 16:29:44 +0000 2018,More than six in 10 women voters in battleground districts say the president does not respect or understand people… https://t.co/sVwz3d4Le1
CBS,0.0,1.0,0.0,0.0,23,Sun Jun 03 16:14:47 +0000 2018,"Rep. Will Hurd says GOP members have the votes to bring immigration bill to the House floor.

""Now is time to solve… https://t.co/q4wgmiJwnd"
CBS,0.0,1.0,0.0,0.0,24,Sun Jun 03 16:00:02 +0000 2018,Single mom who went into labor during final exam graduates from Harvard Law School https://t.co/GgBj9FyMM3 https://t.co/tSt7ZXjSJ6
CBS,0.0,1.0,0.0,0.0,25,Sun Jun 03 15:44:31 +0000 2018,"Ohio Gov. John Kasich says he is ""very, very concerned"" about North Korea summit, and the U.S. must be ""extremely c… https://t.co/en3DRP869u"
CBS,0.0,1.0,0.0,0.0,26,Sun Jun 03 15:29:51 +0000 2018,"Kasich scolds GOP leaders for thinking ""they have to ask permission from the president to do anything."" (via… https://t.co/RhcK8pjljf"
CBS,0.095,0.905,0.0,-0.3182,27,Sun Jun 03 15:14:24 +0000 2018,"""I have been frankly shocked at the fact that our leaders think they have to ask permission from the president to d… https://t.co/n9OZmxtIga"
CBS,0.234,0.649,0.117,-0.4019,28,Sun Jun 03 14:59:55 +0000 2018,"CBS News Battleground Tracker: A closer look at the parties 

In battleground districts where control of House will… https://t.co/Fv6yBCiwRU"
CBS,0.132,0.784,0.083,-0.25,29,Sun Jun 03 14:44:41 +0000 2018,"2018 CBS News Battleground Tracker: Big gender gap 

There is a big gender gap in competitive districts: Democrats… https://t.co/lFkYQFjNQg"
CBS,0.13,0.87,0.0,-0.4019,30,Sun Jun 03 14:36:25 +0000 2018,"CBS News Battleground Tracker: The House is a toss-up 

CBS News' estimate is Democrats 219 - Republicans 216 in ti… https://t.co/kIM8GDgNir"
CBS,0.107,0.893,0.0,-0.2023,31,Sun Jun 03 14:14:39 +0000 2018,Idaho teacher charged after allegedly feeding puppy to snapping turtle in front of students https://t.co/C8IPr0GleL https://t.co/cUF6gykk40
CBS,0.0,1.0,0.0,0.0,32,Sun Jun 03 14:01:02 +0000 2018,"Small plane with 4 on board crashes off New York's Long Island, FAA says https://t.co/uBz5vcVBZd https://t.co/fw4rCfh2c2"
CBS,0.237,0.591,0.172,-0.296,33,Sun Jun 03 13:40:34 +0000 2018,"Many breast cancer patients can safely skip chemotherapy, major study finds https://t.co/Kcd2GeZe3j https://t.co/8gniV1gbQa"
CBS,0.202,0.798,0.0,-0.6486,34,Sun Jun 03 13:20:53 +0000 2018,Dog found dead inside cargo hold on Delta Airlines flight. He was an 8-year-old Pomeranian named Alejandro… https://t.co/dBdq8En9Sq
CBS,0.267,0.733,0.0,-0.6249,35,Sun Jun 03 13:03:04 +0000 2018,"Fire erupts at scrap yard in Oakland, California, that's had trouble in the past https://t.co/FgeIs2Snuy https://t.co/6LQShqw9vq"
CBS,0.526,0.474,0.0,-0.875,36,Sun Jun 03 12:48:04 +0000 2018,"Report: 14-year-old stabbed, killed after fight that started over sleepover https://t.co/Fzh8NupmWE https://t.co/4LMNSkBtsY"
CBS,0.0,0.838,0.162,0.4019,37,Sun Jun 03 12:33:04 +0000 2018,"Far-right party leader calls Nazi era a ""speck of bird poop"" in German history https://t.co/J4eOVWWiPN https://t.co/fTlwpj5rER"
CBS,0.462,0.538,0.0,-0.8625,38,Sun Jun 03 12:18:05 +0000 2018,U.S. citizen killed in Nicaragua amid violence and social unrest https://t.co/qpztwh5AKe https://t.co/sJZkd1qxDt
CBS,0.309,0.691,0.0,-0.7717,39,Sun Jun 03 12:03:04 +0000 2018,"DNA from tissue in trash led to arrest in Golden State Killer case, records show https://t.co/bRiR2LYI7x https://t.co/ULMHh1Sv9k"
CBS,0.0,1.0,0.0,0.0,40,Sun Jun 03 11:48:05 +0000 2018,Ohio Governor John Kasich scolds GOP leaders for thinking “they have to ask permission from the president to do any… https://t.co/gxEcambRce
CBS,0.0,1.0,0.0,0.0,41,Sun Jun 03 11:33:06 +0000 2018,"Small plane with 4 on board crashes off New York's Long Island, FAA says https://t.co/oktGWB9b8q https://t.co/08flsJYLnZ"
